Date,Open,High,Low,Close,Volume
08/29/2025,"347.23","348.75","331.70","333.87","81,145,664"
08/28/2025,"350.91","353.55","340.26","345.98","67,903,219"
08/27/2025,"351.94","355.39","349.16","349.60","65,519,008"
08/26/2025,"344.93","351.90","343.72","351.67","76,651,555"
08/25/2025,"338.90","349.53","335.03","346.60","86,670,039"
08/22/2025,"321.66","340.25","319.69","340.01","94,016,352"
08/21/2025,"322.08","324.90","318.68","320.11","55,744,449"
08/20/2025,"329.22","331.37","314.60","323.90","77,481,766"
08/19/2025,"335.79","340.55","327.85","329.31","75,956,000"
08/18/2025,"329.62","336.27","329.59","335.16","56,956,551"
08/15/2025,"337.66","339.30","327.02","330.56","74,319,789"
08/14/2025,"335.76","340.47","330.40","335.58","75,000,656"
08/13/2025,"341.50","348.98","338.20","339.38","67,838,891"
08/12/2025,"345.00","345.26","332.94","340.84","80,690,109"
08/11/2025,"335.00","346.64","334.15","339.03","105,320,203"
08/08/2025,"321.43","335.15","320.98","329.65","91,200,320"
08/07/2025,"319.79","322.40","316.16","322.27","66,658,672"
08/06/2025,"307.89","320.47","306.93","319.91","78,523,586"
08/05/2025,"308.95","312.45","305.50","308.72","57,961,281"
08/04/2025,"309.08","312.12","303.00","309.26","78,683,914"
08/01/2025,"306.21","309.31","297.82","302.63","89,121,445"
07/31/2025,"319.61","321.37","306.10","308.27","85,270,922"
07/30/2025,"322.18","324.45","311.62","319.04","83,931,938"
07/29/2025,"325.55","326.25","318.25","321.20","87,358,867"
07/28/2025,"318.45","330.49","315.69","325.59","112,673,797"
07/25/2025,"308.74","323.63","308.01","316.06","148,227,016"
07/24/2025,"310.00","310.15","300.41","305.30","156,966,000"
07/23/2025,"330.90","336.20","328.67","332.56","92,553,758"
07/22/2025,"329.74","335.41","321.55","332.11","77,370,367"
07/21/2025,"334.40","338.00","326.88","328.49","75,768,797"
07/18/2025,"321.66","330.90","321.42","329.65","94,254,992"
07/17/2025,"323.15","324.34","317.06","319.41","73,922,875"
07/16/2025,"312.80","323.50","312.62","321.67","97,284,789"
07/15/2025,"319.68","321.20","310.50","310.78","77,556,352"
07/14/2025,"317.73","322.60","312.67","316.90","78,043,430"
07/11/2025,"307.89","314.09","305.65","313.51","79,236,438"
07/10/2025,"300.05","310.48","300.00","309.87","104,365,297"
07/09/2025,"297.55","300.15","293.55","295.88","75,586,766"
07/08/2025,"297.00","304.05","294.35","297.81","103,246,703"
07/07/2025,"291.37","296.15","288.77","293.94","131,177,906"
07/03/2025,"317.99","318.45","312.76","315.35","58,042,301"
07/02/2025,"312.63","316.83","303.82","315.65","119,483,695"
07/01/2025,"298.46","305.89","293.21","300.71","145,085,703"
06/30/2025,"319.90","325.58","316.60","317.66","76,695,078"
06/27/2025,"324.51","329.34","317.50","323.63","89,067,047"
06/26/2025,"324.61","331.05","323.61","325.78","80,440,914"
06/25/2025,"342.70","343.00","320.40","327.55","119,845,102"
06/24/2025,"356.17","356.26","340.44","340.47","114,736,203"
06/23/2025,"327.54","357.54","327.48","348.68","190,716,797"
06/20/2025,"327.95","332.36","317.78","322.16","108,688,000"
06/18/2025,"317.31","329.32","315.45","322.05","95,137,688"
06/17/2025,"326.09","327.26","314.74","316.35","88,282,672"
06/16/2025,"331.29","332.05","326.41","329.13","83,925,859"
06/13/2025,"313.97","332.99","313.30","325.31","128,964,305"
06/12/2025,"323.08","332.56","316.86","319.11","105,127,508"
06/11/2025,"334.40","335.50","322.50","326.43","122,611,398"
06/10/2025,"314.94","327.83","310.67","326.09","151,256,500"
06/09/2025,"285.96","309.83","281.85","308.58","140,908,891"
06/06/2025,"298.83","305.50","291.14","295.14","164,747,703"
06/05/2025,"322.49","324.55","273.21","284.70","292,818,688"
06/04/2025,"345.10","345.60","327.33","332.05","98,912,078"
06/03/2025,"346.60","355.40","343.04","344.27","99,324,547"
06/02/2025,"343.50","348.02","333.33","342.69","81,873,828"
05/30/2025,"355.52","363.68","345.29","346.46","123,474,898"
05/29/2025,"365.29","367.71","356.00","358.43","88,545,672"
05/28/2025,"364.84","365.00","355.91","356.90","91,404,312"
05/27/2025,"347.35","363.79","347.32","362.89","120,146,398"
05/23/2025,"337.92","343.18","333.21","339.34","84,654,812"
05/22/2025,"331.90","347.27","331.39","341.04","97,113,422"
05/21/2025,"344.43","347.35","332.20","334.62","102,354,797"
05/20/2025,"347.87","354.99","341.63","343.82","131,715,500"
05/19/2025,"336.30","343.00","333.37","342.09","88,869,852"
05/16/2025,"346.24","351.62","342.33","349.98","95,895,672"
05/15/2025,"340.34","346.14","334.72","342.82","97,882,602"
05/14/2025,"342.50","350.00","337.00","347.68","136,997,297"
05/13/2025,"320.00","337.59","316.80","334.07","136,992,609"
05/12/2025,"321.99","322.21","311.50","318.38","112,826,703"
05/09/2025,"290.21","307.04","290.00","298.26","132,387,797"
05/08/2025,"279.63","289.80","279.41","284.82","97,539,445"
05/07/2025,"276.88","277.92","271.00","276.22","71,882,406"
05/06/2025,"273.11","277.73","271.35","275.35","76,715,789"
05/05/2025,"284.57","284.85","274.40","280.26","94,618,883"
05/02/2025,"284.90","294.78","279.81","287.21","114,454,703"
05/01/2025,"280.01","290.87","279.81","280.52","99,658,969"
04/30/2025,"279.90","284.45","270.78","282.16","128,961,102"
04/29/2025,"285.50","293.32","279.47","292.03","108,906,602"
04/28/2025,"288.98","294.86","272.42","285.88","151,731,812"
04/25/2025,"261.69","286.85","259.63","284.95","167,560,703"
04/24/2025,"250.50","259.54","249.20","259.51","94,464,203"
04/23/2025,"254.86","259.45","244.43","250.74","150,381,906"
04/22/2025,"230.96","242.79","229.85","237.97","120,858,492"
04/21/2025,"230.26","232.21","222.79","227.50","97,768,008"
04/17/2025,"243.47","244.34","237.68","241.37","83,404,781"
04/16/2025,"247.61","251.97","233.89","241.55","112,378,703"
04/15/2025,"249.91","258.75","247.54","254.11","79,594,320"
04/14/2025,"258.36","261.80","245.93","252.35","100,135,203"
04/11/2025,"251.84","257.74","241.36","252.31","128,948,094"
04/10/2025,"260.00","262.49","239.33","252.40","181,722,594"
04/09/2025,"224.69","274.69","223.88","272.20","219,433,406"
04/08/2025,"245.00","250.44","217.80","221.86","171,603,500"
04/07/2025,"223.78","252.00","214.25","233.29","183,453,797"
04/04/2025,"255.38","261.00","236.00","239.43","181,229,406"
04/03/2025,"265.29","276.30","261.51","267.28","136,174,297"
04/02/2025,"254.60","284.99","251.27","282.76","212,787,812"
04/01/2025,"263.80","277.45","259.25","268.46","146,486,891"
03/31/2025,"249.31","260.56","243.36","259.16","134,008,891"
03/28/2025,"275.58","276.10","260.57","263.55","123,809,398"
03/27/2025,"272.48","291.85","271.82","273.13","162,572,094"
03/26/2025,"282.66","284.90","266.51","272.06","156,254,406"
03/25/2025,"283.60","288.20","271.28","288.14","150,361,500"
03/24/2025,"258.08","278.64","256.33","278.39","169,079,906"
03/21/2025,"234.99","249.52","234.55","248.71","132,728,703"
03/20/2025,"233.35","238.00","230.05","236.26","99,028,273"
03/19/2025,"231.61","241.41","229.20","235.86","111,993,797"
03/18/2025,"228.16","230.10","222.28","225.31","111,477,602"
03/17/2025,"245.06","245.40","232.80","238.01","111,900,602"
03/14/2025,"247.31","251.58","240.73","249.98","100,242,305"
03/13/2025,"248.13","248.29","232.60","240.68","114,813,508"
03/12/2025,"247.22","251.84","241.10","248.09","142,215,703"
03/11/2025,"225.31","237.06","217.02","230.58","174,896,406"
03/10/2025,"252.54","253.37","220.00","222.15","189,076,891"
03/07/2025,"259.32","266.25","250.73","262.67","102,369,602"
03/06/2025,"272.06","272.65","260.02","263.45","98,451,570"
03/05/2025,"272.92","279.55","267.71","279.10","94,042,914"
03/04/2025,"270.93","284.35","261.84","272.04","126,706,602"
03/03/2025,"300.34","303.94","277.30","284.65","115,551,398"
02/28/2025,"279.50","293.88","273.60","292.98","115,697,000"
02/27/2025,"291.16","297.23","280.88","281.95","101,748,203"
02/26/2025,"303.72","309.00","288.04","290.80","100,118,305"
02/25/2025,"327.03","328.89","297.25","302.80","134,228,797"
02/24/2025,"338.14","342.40","324.70","330.53","76,052,320"
02/21/2025,"353.44","354.98","334.42","337.80","74,058,648"
02/20/2025,"361.51","362.30","348.00","354.40","45,965,352"
02/19/2025,"354.00","367.34","353.67","360.56","67,094,367"
02/18/2025,"355.01","359.10","350.02","354.11","51,631,699"
02/14/2025,"360.62","362.00","347.50","355.84","68,277,281"
02/13/2025,"345.00","358.69","342.85","355.94","89,441,523"
02/12/2025,"329.94","346.40","329.12","336.51","105,382,703"
02/11/2025,"345.80","349.37","325.10","328.50","118,543,398"
02/10/2025,"356.21","362.70","350.51","350.73","77,514,898"
02/07/2025,"370.19","380.55","360.34","361.62","70,298,258"
02/06/2025,"373.03","375.40","363.18","374.32","77,918,234"
02/05/2025,"387.51","388.39","375.53","378.17","57,614,719"
02/04/2025,"382.63","394.00","381.40","392.21","57,072,238"
02/03/2025,"386.68","389.17","374.36","383.68","93,732,117"
01/31/2025,"401.53","419.99","401.34","404.60","83,568,227"
01/30/2025,"410.78","412.50","384.41","400.28","98,092,883"
01/29/2025,"395.21","398.59","384.48","389.10","68,033,648"
01/28/2025,"396.91","400.59","386.50","398.09","48,910,680"
01/27/2025,"394.80","406.69","389.00","397.15","58,125,512"
01/24/2025,"414.45","418.88","405.78","406.58","56,427,152"
01/23/2025,"416.06","420.73","408.95","412.38","50,690,594"
01/22/2025,"416.81","428.00","414.59","415.11","60,963,340"
01/21/2025,"432.64","433.20","406.31","424.07","87,320,891"
01/17/2025,"421.50","439.74","419.75","426.50","94,991,430"
01/16/2025,"423.49","424.00","409.13","413.82","68,335,148"
01/15/2025,"409.90","429.80","405.66","428.22","81,375,453"
01/14/2025,"414.34","422.64","394.54","396.36","84,565,023"
01/13/2025,"383.21","403.79","380.07","403.31","67,580,484"
01/10/2025,"391.40","399.28","377.29","394.74","62,287,328"
01/08/2025,"392.95","402.50","387.40","394.94","73,038,805"
01/07/2025,"405.83","414.33","390.00","394.36","75,699,531"
01/06/2025,"423.20","426.43","401.70","411.05","85,516,531"
01/03/2025,"381.48","411.88","379.45","410.44","95,423,328"
01/02/2025,"390.10","392.73","373.04","379.28","109,710,703"
12/31/2024,"423.79","427.93","402.54","403.84","76,825,117"
12/30/2024,"419.40","427.00","415.75","417.41","64,941,008"
12/27/2024,"449.52","450.00","426.50","431.66","82,666,812"
12/26/2024,"465.16","465.33","451.02","454.13","76,651,211"
12/24/2024,"435.90","462.78","435.14","462.28","59,551,754"
12/23/2024,"431.00","434.51","415.41","430.60","72,698,062"
12/20/2024,"425.51","447.08","417.64","421.06","132,216,203"
12/19/2024,"451.88","456.36","420.02","436.17","118,566,094"
12/18/2024,"466.50","488.54","427.01","440.13","149,340,797"
12/17/2024,"475.90","483.99","457.51","479.86","131,223,000"
12/16/2024,"441.09","463.19","436.15","463.02","114,083,797"
12/13/2024,"420.00","436.30","415.71","436.23","89,000,156"
12/12/2024,"424.84","429.30","415.00","418.10","87,752,234"
12/11/2024,"409.70","424.88","402.38","424.77","104,287,602"
12/10/2024,"392.68","409.73","390.85","400.99","97,563,586"
12/09/2024,"397.61","404.80","378.01","389.79","96,359,172"
12/06/2024,"377.42","389.49","370.80","389.22","81,455,828"
12/05/2024,"359.87","375.43","359.50","369.49","81,403,570"
12/04/2024,"353.00","358.10","348.60","357.93","50,810,871"
12/03/2024,"351.80","355.69","348.20","351.42","58,267,199"
12/02/2024,"352.38","360.00","351.15","357.09","77,986,477"
11/29/2024,"336.08","345.45","334.65","345.16","37,167,621"
11/27/2024,"341.80","342.55","326.59","332.89","57,896,441"
11/26/2024,"341.00","346.96","335.66","338.23","62,295,859"
11/25/2024,"360.14","361.93","338.20","338.59","95,890,898"
11/22/2024,"341.09","361.53","337.70","352.56","89,140,719"
11/21/2024,"343.81","347.99","335.28","339.64","58,011,719"
11/20/2024,"345.00","346.60","334.30","342.03","66,340,648"
11/19/2024,"335.76","347.38","332.75","346.00","88,852,445"
11/18/2024,"340.73","348.55","330.01","338.74","126,547,508"
11/15/2024,"310.57","324.68","309.22","320.72","114,440,305"
11/14/2024,"327.69","329.98","310.37","311.18","120,726,094"
11/13/2024,"335.85","344.60","322.50","330.24","125,405,602"
11/12/2024,"342.74","345.84","323.31","328.49","155,726,000"
11/11/2024,"346.30","358.64","336.00","350.00","210,521,594"
11/08/2024,"299.14","328.71","297.66","321.22","204,782,797"
11/07/2024,"288.89","299.75","285.52","296.91","117,309,203"
11/06/2024,"284.67","289.59","275.62","288.53","165,228,703"
